dynamicColors	mergedColors
ATP1B1	grey	grey
ATP1B2	red	red
ATP1B3	blue	blue
ATP2A1	brown	brown
ATP2A2	turquoise	pink
ATP2A3	grey	grey
ATP2B1	blue	blue
ATP2B2	grey	grey
ATP2B3	grey	grey
ATP2B4	turquoise	pink
ATP2C1	pink	pink
ATP2C2	grey	grey
ATP4A	grey	grey
ATP4B	grey	grey
ATP6AP1	turquoise	pink
ATP6AP1L	grey	grey
ATP6AP2	grey	grey
ATP6V0A1	brown	brown
ATP6V0A2	blue	blue
ATP6V0A4	grey	grey
ATP6V0B	turquoise	pink
ATP6V0D1	grey	grey
ATP6V0D2	yellow	magenta
ATP6V0E1	grey	grey
ATP6V1A	pink	pink
ATP6V1B2	yellow	magenta
ATP6V1C1	pink	pink
ATP6V1C2	grey	grey
ATP6V1D	grey	grey
ATP6V1E2	grey	grey
ATP6V1G1	grey	grey
ATP6V1H	grey	grey
ATP7A	turquoise	pink
ATP7B	turquoise	pink
ATP8A1	blue	blue
ATP8A2	grey	grey
ATP8B1	turquoise	pink
ATP8B2	grey	grey
ATP8B3	grey	grey
ATP8B4	yellow	magenta
ATP9A	turquoise	pink
ATP9B	turquoise	pink
ATPAF1	turquoise	pink
ATPAF2	turquoise	pink
ATR	pink	pink
ATRAID	grey	grey
ATRIP	turquoise	pink
ATRN	turquoise	pink
ATRNL1	grey	grey
ATRX	turquoise	pink
ATXN1	turquoise	pink
ATXN10	turquoise	pink
ATXN1L	turquoise	pink
ATXN2	turquoise	pink
ATXN2L	turquoise	pink
ATXN3	turquoise	pink
ATXN7	turquoise	pink
ATXN7L1	turquoise	pink
ATXN7L2	brown	brown
ATXN7L3B	turquoise	pink
AUH	turquoise	pink
AUNIP	blue	blue
AUP1	grey	grey
AURKA	blue	blue
AURKAIP1	grey	grey
AURKB	blue	blue
AURKC	grey	grey
AUTS2	turquoise	pink
AVEN	grey	grey
AVIL	brown	brown
AVL9	turquoise	pink
AVPI1	grey	grey
AVPR1A	grey	grey
AVPR1B	grey	grey
AVPR2	grey	grey
AWAT1	grey	grey
AXDND1	grey	grey
AXIN1	brown	brown
AXIN2	grey	grey
AXL	green	green
AZI2	pink	pink
AZIN1	blue	blue
AZIN2	grey	grey
AZU1	grey	grey
B2M	yellow	magenta
B3GALNT1	grey	grey
B3GALNT2	turquoise	pink
B3GALT1	grey	grey
B3GALT2	grey	grey
B3GALT4	grey	grey
B3GALT5	grey	grey
B3GALT6	turquoise	pink
B3GAT1	grey	grey
B3GAT2	brown	brown
B3GNT2	pink	pink
B3GNT3	grey	grey
B3GNT4	grey	grey
B3GNT5	blue	blue
B3GNT6	grey	grey
B3GNT7	grey	grey
B3GNTL1	brown	brown
B4GALNT1	grey	grey
B4GALNT2	grey	grey
B4GALNT3	grey	grey
B4GALNT4	grey	grey
B4GALT1	grey	grey
B4GALT2	grey	grey
B4GALT3	turquoise	pink
B4GALT4	pink	pink
B4GALT5	turquoise	pink
B4GALT6	blue	blue
B4GALT7	grey	grey
B4GAT1	grey	grey
B9D1	black	black
B9D2	black	black
BAALC	grey	grey
BAAT	grey	grey
BACE1	green	green
BACE2	grey	grey
BACH1	pink	pink
BACH2	green	green
BAD	grey	grey
BAG1	grey	grey
BAG2	blue	blue
BAG3	turquoise	pink
BAG4	pink	pink
BAG5	turquoise	pink
BAG6	turquoise	pink
BAHCC1	turquoise	pink
BAHD1	turquoise	pink
BAIAP2	turquoise	pink
BAIAP2L1	turquoise	pink
BAIAP2L2	grey	grey
BAIAP3	black	black
BAK1	grey	grey
BAMBI	grey	grey
BANK1	magenta	magenta
BANP	turquoise	pink
BAP1	turquoise	pink
BARD1	blue	blue
BARX1	grey	grey
BARX2	grey	grey
BASP1	grey	grey
BATF	grey	grey
BATF2	magenta	magenta
BATF3	grey	grey
BAX	brown	brown
BAZ1A	turquoise	pink
